"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 은평구 진관동","2","0002","0000","상림마을6단지푸르지오(606~614동)BL1-7","84.7900","202605","18","76,500","-","3","개인","개인","2008","진관4로 100","-","중개거래","서울 은평구","-"
"2","경기도 남양주시 화도읍 마석우리","552","0552","0000","보미청광플러스원","84.9694","202605","18","31,500","-","3","개인","개인","2005","맷돌로 50","-","중개거래","경기 남양주시","-"
"3","충청남도 아산시 둔포면 석곡리","1810","1810","0000","아산테크노밸리이지더원7단지","76.5619","202605","18","25,000","-","24","개인","개인","2017","아산밸리남로 77","-","중개거래","충남 아산시","-"
"4","강원특별자치도 동해시 발한동","334-1","0334","0001","삼성","84.9900","202605","18","12,300","-","2","개인","개인","1996","해안로 605","-","중개거래","강원 동해시","-"
"5","인천광역시 서구 원당동","1018","1018","0000","검단신도시푸르지오더베뉴","75.8400","202605","18","64,000","-","6","개인","개인","2021","이음6로 33","-","중개거래","인천 서구","-"
"6","부산광역시 사상구 학장동","574-111","0574","0111","1차삼성","84.9900","202605","18","19,000","-","9","개인","개인","1997","대동로 148-29","-","중개거래","부산 금정구","-"
"7","충청북도 청주시 청원구 내수읍 내수리","200-3","0200","0003","삼일","59.6840","202605","18","7,100","-","3","개인","개인","1996","내수로 639","-","중개거래","충북 청주시 청원구","-"
"8","울산광역시 북구 신천동","244","0244","0000","무지개1","59.8500","202605","18","10,000","-","20","개인","개인","1993","제내5길 26","-","중개거래","울산 북구","-"
"9","부산광역시 해운대구 반여동","1662","1662","0000","메가센텀한화꿈에그린","84.9793","202605","18","53,000","-","23","개인","개인","2008","반여로 67","-","중개거래","부산 해운대구","-"
"10","부산광역시 해운대구 좌동","1337","1337","0000","현대","84.4100","202605","18","51,000","-","18","개인","개인","1996","양운로37번길 11","-","중개거래","부산 해운대구","-"
"11","부산광역시 부산진구 범천동","974-4","0974","0004","범천동이즈팰리스","55.6900","202605","18","18,000","-","10","개인","개인","2016","범천로12번길 7","-","중개거래","부산 연제구","-"
"12","제주특별자치도 제주시 외도일동","560-1","0560","0001","외도부영1차","59.9330","202605","18","24,000","-","4","개인","개인","2000","우정로11길 22","-","중개거래","제주 제주시","-"
"13","전북특별자치도 군산시 조촌동","491","0491","0000","삼성아파트","73.8300","202605","18","9,000","-","4","개인","개인","1992","백릉로 162","-","직거래","-","-"
"14","울산광역시 남구 신정동","851-21","0851","0021","신정현대홈타운3","84.9600","202605","18","47,500","-","21","개인","개인","2001","수암로129번길 25","-","중개거래","울산 남구","-"
"15","경상남도 창원시 의창구 소답동","410-3","0410","0003","오션빌리지","72.9600","202605","18","19,500","-","9","개인","개인","2012","의안로70번길 15","-","중개거래","경남 창원시 의창구","-"
"16","부산광역시 수영구 남천동","41-2","0041","0002","소라맨션","64.8900","202605","18","23,500","-","3","개인","개인","1979","수영로487번길 20","-","중개거래","부산 수영구","-"
"17","경상남도 창원시 마산합포구 자산동","326-2","0326","0002","한우아파트","57.8500","202605","18","9,000","-","1","개인","개인","1986","자산솔밭로 52","-","중개거래","경남 창원시 마산합포구","-"
"18","경기도 양주시 옥정동","1095","1095","0000","e편한세상옥정메트로포레","66.9730","202605","18","37,600","-","25","개인","개인","2020","옥정동로 10","-","중개거래","경기 양주시","-"
"19","광주광역시 광산구 선암동","549","0549","0000","광주선운지구이지더원3단지","72.2197","202605","18","35,500","-","20","개인","개인","2016","선운로 55","-","중개거래","광주 광산구, 광주 서구","-"
"20","경상북도 포항시 남구 오천읍 용산리","313-5","0313","0005","삼주용산타운","59.1160","202605","18","4,000","-","2","개인","개인","1995","정몽주로 164","-","직거래","-","-"
"21","인천광역시 서구 원당동","987","0987","0000","검단신도시로제비앙라포레","84.4159","202605","18","48,000","-","15","개인","개인","2022","서로3로 277","-","중개거래","인천 서구","-"
"22","경기도 평택시 고덕동","2664-2","2664","0002","호반써밋고덕국제신도시에듀파크","84.2876","202605","18","61,000","-","7","개인","개인","2022","고덕로 270","-","직거래","-","-"
"23","강원특별자치도 춘천시 칠전동","529-2","0529","0002","춘천칠전사랑으로부영","59.9381","202605","18","17,700","-","8","개인","개인","2012","칠전서길 45","-","중개거래","강원 춘천시","-"
"24","경기도 용인시 수지구 풍덕천동","664","0664","0000","풍림아파트","59.7600","202605","18","62,000","-","4","개인","개인","1994","문인로 59","-","중개거래","경기 용인시 수지구","-"
"25","충청북도 청주시 청원구 율량동","1265","1265","0000","율량효성","59.8600","202605","18","12,000","-","5","개인","개인","1996","사뜸로67번길 13","-","중개거래","충북 청주시 청원구","-"
"26","전북특별자치도 군산시 문화동","26","0026","0000","삼성아파트","65.1600","202605","18","8,500","-","7","개인","개인","1992","백토로 93","-","직거래","-","-"
"27","경기도 수원시 권선구 금곡동","1081","1081","0000","호매실역서희스타힐스","84.9800","202605","18","65,000","-","13","개인","개인","2011","금곡로 46","-","직거래","-","-"
"28","경상북도 구미시 송정동","1","0001","0000","푸르지오 캐슬B단지","137.1293","202605","18","49,500","-","9","개인","개인","2007","산책길 7","-","중개거래","경북 구미시","-"
"29","광주광역시 서구 금호동","809","0809","0000","호반리젠시빌5차","84.8910","202605","18","31,000","-","14","개인","개인","2002","화개1로78번길 8","-","중개거래","광주 서구","-"
"30","전북특별자치도 익산시 영등동","810","0810","0000","제일4차","59.7700","202605","18","15,700","-","5","개인","개인","1999","무왕로9길 60","-","직거래","-","-"
"31","전북특별자치도 익산시 영등동","682","0682","0000","동신","84.9600","202605","18","13,000","-","15","개인","개인","1992","약촌로 228","-","직거래","-","-"
"32","울산광역시 남구 삼산동","172-1","0172","0001","세양청구마을","84.9900","202605","18","37,800","-","12","개인","개인","1997","돋질로401번길 12","-","중개거래","울산 남구","-"
"33","충청남도 천안시 서북구 두정동","2068","2068","0000","한화포레나천안두정","76.7079","202605","18","40,500","-","16","개인","개인","2022","천안대로 980-17","-","중개거래","충남 천안시 서북구","-"
"34","대구광역시 남구 이천동","1181","1181","0000","대봉교역금호어울림에듀리버","84.2063","202605","18","54,800","-","26","개인","개인","2024","대봉로30길 12","-","중개거래","대구 남구","-"
